case_id,rank,expected_carrier,expected_service,expected_estimate_ex_gst,validation_status,source,notes
CASE_001,1,KTI,GENERAL,634.53,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_001,2,TEAMEX,ROAD,822.61,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_001,3,TFMX,ROAD,957.47,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_002,1,TEAMEX,ROAD,135.22,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_002,2,STEA,ROAD,190.40,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_002,3,COCHRN,ROAD,334.29,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_002,4,KTI,GENERAL,928.62,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_003,1,STEA,ROAD,133.28,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_003,2,COCHRN,ROAD,222.86,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_003,3,KTI,GENERAL,625.52,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_003,4,TEAMEX,ROAD,796.82,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_004,1,STEA,ROAD,316.84,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_004,2,COCHRN,ROAD,396.07,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_004,3,KTI,GENERAL,962.07,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_004,4,TEAMEX,ROAD,1085.95,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_005,1,STEA,ROAD,376.40,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_005,2,TEAMEX,ROAD,450.22,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_005,3,COCHRN,ROAD,475.29,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_005,4,KTI,GENERAL,1150.62,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_006,1,STEA,ROAD,257.28,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_006,2,COCHRN,ROAD,316.86,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_006,3,KTI,GENERAL,773.52,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_006,4,TEAMEX,ROAD,1006.82,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_007,1,KTI,GENERAL,671.53,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_007,2,TEAMEX,ROAD,927.61,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_007,3,TFMX,ROAD,1017.47,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_008,1,STEA,ROAD,47.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
