record_type,carrier,service,config_id,config_client,config_carrier_service,config_customer_code,config_ratecard,config_fuel_levy,config_extra_surcharge,config_uprate,config_cubic_conversion,config_tailgate_enabled,config_warehouse_handling_enabled,config_fixed_handling_charge,config_hand_unload_enabled,config_subzone_enabled,config_area_enabled,config_overlength_enabled,config_pallet_enabled,config_carton_enabled,config_zone_enabled,config_postcode_zones_enabled,config_empty_rate_enabled,config_base_status,config_order_ready_rule,config_active,fuel_total_calc,rate_id,rate_client,rate_carrier_service,rate_zone,rate_subzone,rate_area,rate_weight_break,rate_freight_type,rate_customer_code,rate_minimum_charge,rate_basic_charge,rate_per_subsequent_basic,rate_per_kg,rate_overweight_charge,rate_remote_charge,rate_offshore_charge,rate_overlength_charge,rate_margin,rate_lookup_key,rate_source_row
config,KTI,GENERAL,1,STH - Stenhoj Australia,KTI GENERAL,STH,1822,0.280000,0.000000,0.000000,334.000,True,False,14.3000,False,True,False,False,True,False,True,False,False,L,GOOD,True,0.280000,,,,,,,,,,,,,,,,,,,,
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,5,STH - Stenhoj Australia,KTI GENERAL,MELB,,,,P,STH,102.1034,15.3700,0.0000,0.1016,0.0000,0.0000,0.0000,0.0000,0.250000,KTIGENERALMELBSTHP,7
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,6,STH - Stenhoj Australia,KTI GENERAL,SYDN,,,,P,STH,327.1456,15.3700,0.0000,0.3267,0.0000,0.0000,0.0000,0.0000,0.250000,KTIGENERALSYDNSTHP,8
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,7,STH - Stenhoj Australia,KTI GENERAL,PERT,,,,P,STH,326.0463,15.3700,0.0000,0.3256,0.0000,0.0000,0.0000,0.0000,0.250000,KTIGENERALPERTSTHP,9
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,8,STH - Stenhoj Australia,KTI GENERAL,ADEL,,,,P,STH,0.0000,136.1309,120.7610,0.0000,0.0000,0.0000,0.0000,0.0000,0.250000,KTIGENERALADELSTHP,10
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,9,STH - Stenhoj Australia,KTI GENERAL,MELB,,,,P,SLM,72.4629,28.2795,0.0000,0.0733,0.0000,0.0000,0.0000,0.0000,0.120000,KTIGENERALMELBSLMP,11
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,10,STH - Stenhoj Australia,KTI GENERAL,SYDN,,,,P,SLM,243.7102,28.2795,0.0000,0.2440,0.0000,0.0000,0.0000,0.0000,0.120000,KTIGENERALSYDNSLMP,12
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,11,STH - Stenhoj Australia,KTI GENERAL,PERT,,,,P,SLM,251.3952,28.2795,0.0000,0.2523,0.0000,0.0000,0.0000,0.0000,0.120000,KTIGENERALPERTSLMP,13
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,12,STH - Stenhoj Australia,KTI GENERAL,ADEL,,,,P,SLM,0.0000,36.1215,36.1215,0.0000,0.0000,0.0000,0.0000,0.0000,0.250000,KTIGENERALADELSLMP,14
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,13,STH - Stenhoj Australia,KTI GENERAL,BARO,,,,P,SLM,0.0000,48.1620,48.1620,0.0000,0.0000,0.0000,0.0000,0.0000,0.250000,KTIGENERALBAROSLMP,15
rate,KTI,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,14,STH - Stenhoj Australia,KTI GENERAL,MCLA,,,,P,SLM,0.0000,48.1620,48.1620,0.0000,0.0000,0.0000,0.0000,0.0000,0.250000,KTIGENERALMCLASLMP,16
