row_type,check_type,case_id,test_type,purpose,suburb,state,postcode,tailgate,rank,expected_carrier,actual_carrier,carrier_status,expected_service,actual_service,service_status,expected_estimate_ex_gst,actual_estimate_ex_gst,difference,estimate_status,expected_total_weight_kg,actual_total_weight_kg,weight_status,expected_total_cubic_m3,actual_total_cubic_m3,cubic_status,actual_rating_cubic_m3,pallet_cubic_adjustment_m3,overall_status,validation_status,source_page,notes
rank_output,rank_output,RANDOM_30_001,random_excel_live,Random case generated from current Django database for Excel live validation.,MINNAMURRA,NSW,2533,YES,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,1453.66,1453.66,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_30_002,random_excel_live,Random case generated from current Django database for Excel live validation.,TAROMEO,QLD,4306,YES,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,6059.20,5565.30,-493.90,FAIL,,,,,,,,,FAIL,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_30_003,random_excel_live,Random case generated from current Django database for Excel live validation.,SOUTHERN RIVER,WA,6110,NO,1,KTI,KTI,OK,GENERAL,GENERAL,OK,2005.66,2005.66,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_30_003,random_excel_live,Random case generated from current Django database for Excel live validation.,SOUTHERN RIVER,WA,6110,NO,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,2082.15,2082.16,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_30_004,random_excel_live,Random case generated from current Django database for Excel live validation.,BOYNESIDE,QLD,4610,NO,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,590.75,590.75,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,RANDOM_30_005,random_excel_live,Random case generated from current Django database for Excel live validation.,LOCKES CLAYPAN,SA,5655,NO,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,4191.31,4191.31,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
component_totals,component_totals,RANDOM_30_001,random_excel_live,Random case generated from current Django database for Excel live validation.,MINNAMURRA,NSW,2533,YES,,,TEAMEX,,,ROAD,,,1453.66,,,3165,3165.0000,OK,2.492,2.492000,OK,2.532000,0.04,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
component_totals,component_totals,RANDOM_30_002,random_excel_live,Random case generated from current Django database for Excel live validation.,TAROMEO,QLD,4306,YES,,,TEAMEX,,,ROAD,,,5565.30,,,9262.5,9262.5000,OK,10.452,10.452000,OK,10.552000,0.10,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
component_totals,component_totals,RANDOM_30_003,random_excel_live,Random case generated from current Django database for Excel live validation.,SOUTHERN RIVER,WA,6110,NO,,,KTI,,,GENERAL,,,2005.66,,,4980.5,4980.5000,OK,3.952,3.952000,OK,4.052000,0.10,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
component_totals,component_totals,RANDOM_30_004,random_excel_live,Random case generated from current Django database for Excel live validation.,BOYNESIDE,QLD,4610,NO,,,TEAMEX,,,ROAD,,,590.75,,,633,633.0000,OK,0.581,0.581000,OK,0.621000,0.04,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
component_totals,component_totals,RANDOM_30_005,random_excel_live,Random case generated from current Django database for Excel live validation.,LOCKES CLAYPAN,SA,5655,NO,,,TEAMEX,,,ROAD,,,4191.31,,,5756.5,5756.5000,OK,19.220000000000002,19.220000,OK,19.320000,0.10,OK,generated_from_excel_live,Microsoft Excel automation,Totals read from configured Calculator cells.
