row_type,case_id,test_type,purpose,suburb,state,postcode,tailgate,rank,expected_carrier,actual_carrier,carrier_status,expected_service,actual_service,service_status,expected_estimate_ex_gst,actual_estimate_ex_gst,difference,estimate_status,expected_total_weight_kg,actual_total_weight_kg,weight_status,expected_total_cubic_m3,actual_total_cubic_m3,cubic_status,overall_status,validation_status,source_page,notes
rank_output,CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,1,KTI,KTI,OK,GENERAL,GENERAL,OK,647.17,647.43,0.26,FAIL,,,,,,,FAIL,validated_from_excel_screenshot,User latest screenshots 0630,"Corrected from latest Excel/app screenshots, fuel levy 22/06/2026."
rank_output,CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,854.13,854.13,0.00,OK,,,,,,,OK,validated_from_excel_screenshot,User latest screenshots 0630,"Corrected from latest Excel/app screenshots, fuel levy 22/06/2026."
rank_output,CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,3,TFMX,TFMX,OK,ROAD,ROAD,OK,1020.36,1020.37,0.01,OK,,,,,,,OK,validated_from_excel_screenshot,User latest screenshots 0630,"Corrected from latest Excel/app screenshots, fuel levy 22/06/2026."
rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,145.28,140.81,-4.47,FAIL,,,,,,,FAIL,validated_from_excel_screenshot,PDF p.1 bottom / p.2,
rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,2,STEA,STEA,OK,ROAD,ROAD,OK,190.40,190.40,0.00,OK,,,,,,,OK,validated_from_excel_screenshot,PDF p.1 bottom / p.2,
rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,3,COCHRN,COCHRN,OK,ROAD,ROAD,OK,356.57,356.58,0.01,OK,,,,,,,OK,validated_from_excel_screenshot,PDF p.1 bottom / p.2,
rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,4,KTI,KTI,OK,GENERAL,GENERAL,OK,961.92,947.13,-14.79,FAIL,,,,,,,FAIL,validated_from_excel_screenshot,PDF p.1 bottom / p.2,
rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,1,STEA,STEA,OK,ROAD,ROAD,OK,133.28,133.28,0.00,OK,,,,,,,OK,validated_from_excel_screenshot,PDF p.3,
rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,237.72,237.72,0.00,OK,,,,,,,OK,validated_from_excel_screenshot,PDF p.3,
rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,3,KTI,KTI,OK,GENERAL,GENERAL,OK,637.98,637.98,0.00,OK,,,,,,,OK,validated_from_excel_screenshot,PDF p.3,
