case_id,rank,expected_carrier,expected_service,expected_estimate_ex_gst,validation_status,source_page,notes
CASE_001,1,KTI,GENERAL,647.17,validated_from_excel_screenshot,User latest screenshots 0630,"Corrected from latest Excel/app screenshots, fuel levy 22/06/2026."
CASE_001,2,TEAMEX,ROAD,854.13,validated_from_excel_screenshot,User latest screenshots 0630,"Corrected from latest Excel/app screenshots, fuel levy 22/06/2026."
CASE_001,3,TFMX,ROAD,1020.36,validated_from_excel_screenshot,User latest screenshots 0630,"Corrected from latest Excel/app screenshots, fuel levy 22/06/2026."
CASE_002,1,TEAMEX,ROAD,145.28,validated_from_excel_screenshot,PDF p.1 bottom / p.2,
CASE_002,2,STEA,ROAD,190.4,validated_from_excel_screenshot,PDF p.1 bottom / p.2,
CASE_002,3,COCHRN,ROAD,356.57,validated_from_excel_screenshot,PDF p.1 bottom / p.2,
CASE_002,4,KTI,GENERAL,961.92,validated_from_excel_screenshot,PDF p.1 bottom / p.2,
CASE_003,1,STEA,ROAD,133.28,validated_from_excel_screenshot,PDF p.3,
CASE_003,2,COCHRN,ROAD,237.72,validated_from_excel_screenshot,PDF p.3,
CASE_003,3,KTI,GENERAL,637.98,validated_from_excel_screenshot,PDF p.3,
CASE_003,4,TEAMEX,ROAD,822.72,validated_from_excel_screenshot,PDF p.3,
CASE_004,1,STEA,ROAD,316.84,validated_from_excel_screenshot,PDF p.4,
CASE_004,2,COCHRN,ROAD,414.64,validated_from_excel_screenshot,PDF p.4,
CASE_004,3,KTI,GENERAL,977.55,validated_from_excel_screenshot,PDF p.4,
CASE_004,4,TEAMEX,ROAD,1117.5,validated_from_excel_screenshot,PDF p.4,
CASE_005,1,STEA,ROAD,376.4,validated_from_excel_screenshot,PDF p.5,
CASE_005,2,TEAMEX,ROAD,455.81,validated_from_excel_screenshot,PDF p.5,
CASE_005,3,COCHRN,ROAD,497.57,validated_from_excel_screenshot,PDF p.5,
CASE_005,4,KTI,GENERAL,1169.12,validated_from_excel_screenshot,PDF p.5,
CASE_006,1,STEA,ROAD,257.28,validated_from_excel_screenshot,PDF p.6,
CASE_006,2,COCHRN,ROAD,331.72,validated_from_excel_screenshot,PDF p.6,
CASE_006,3,KTI,GENERAL,785.98,validated_from_excel_screenshot,PDF p.6,
CASE_006,4,TEAMEX,ROAD,1032.72,validated_from_excel_screenshot,PDF p.6,
CASE_007,1,KTI,GENERAL,684.17,validated_from_excel_screenshot,PDF p.7,
CASE_007,2,TEAMEX,ROAD,959.13,validated_from_excel_screenshot,PDF p.7,
CASE_007,3,TFMX,ROAD,1080.36,validated_from_excel_screenshot,PDF p.7,
CASE_008,1,STEA,ROAD,47.6,validated_from_excel_screenshot,PDF p.8,
CASE_008,2,COCHRN,ROAD,59.43,validated_from_excel_screenshot,PDF p.8,
CASE_008,3,TFMX,ROAD,65.77,validated_from_excel_screenshot,PDF p.8,
CASE_008,4,TEAMEX,ROAD,68.8,validated_from_excel_screenshot,PDF p.8,
CASE_008,5,KTI,GENERAL,174.26,validated_from_excel_screenshot,PDF p.8,
CASE_009,1,STEA,ROAD,47.6,validated_from_excel_screenshot,PDF p.9,
CASE_009,2,COCHRN,ROAD,59.43,validated_from_excel_screenshot,PDF p.9,
CASE_009,3,TEAMEX,ROAD,77.65,validated_from_excel_screenshot,PDF p.9,
CASE_009,4,KTI,GENERAL,174.26,validated_from_excel_screenshot,PDF p.9,
CASE_010,1,STEA,ROAD,76.16,validated_from_excel_screenshot,PDF p.10,
CASE_010,2,TEAMEX,ROAD,91.92,validated_from_excel_screenshot,PDF p.10,
CASE_010,3,COCHRN,ROAD,118.86,validated_from_excel_screenshot,PDF p.10,
CASE_010,4,KTI,GENERAL,328.83,validated_from_excel_screenshot,PDF p.10,
