row_type,check_type,case_id,test_type,purpose,suburb,state,postcode,tailgate,rank,expected_carrier,actual_carrier,carrier_status,expected_service,actual_service,service_status,expected_estimate_ex_gst,actual_estimate_ex_gst,difference,estimate_status,expected_total_weight_kg,actual_total_weight_kg,weight_status,expected_total_cubic_m3,actual_total_cubic_m3,cubic_status,actual_rating_cubic_m3,pallet_cubic_adjustment_m3,overall_status,validation_status,source_page,notes
rank_output,rank_output,CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,1,KTI,KTI,OK,GENERAL,GENERAL,OK,634.53,634.53,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,822.61,822.62,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_001,Volumetric interstate / zone-rate lookup,"Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.",CAROLINE SPRINGS,VIC,3023,NO,3,TFMX,TFMX,OK,ROAD,ROAD,OK,957.47,957.47,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,1,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,135.22,135.22,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,2,STEA,STEA,OK,ROAD,ROAD,OK,190.40,190.40,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,3,COCHRN,COCHRN,OK,ROAD,ROAD,OK,334.29,334.29,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_002,Base consolidation / SA ranking,"Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.",BLAIR ATHOL,SA,5084,NO,4,KTI,KTI,OK,GENERAL,GENERAL,OK,928.62,928.63,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,1,STEA,STEA,OK,ROAD,ROAD,OK,133.28,133.28,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,222.86,222.86,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,3,KTI,KTI,OK,GENERAL,GENERAL,OK,625.52,625.52,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_003,Heavy SKU accepted / SM460-A,"Validate heavy SKU accepted by carriers and ranking for SM460-A × 4, Tailgate NO.",BLAIR ATHOL,SA,5084,NO,4,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,796.82,796.82,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_004,Volumetric + Tailgate / multiple lines,Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.,BLAIR ATHOL,SA,5084,YES,1,STEA,STEA,OK,ROAD,ROAD,OK,316.84,316.84,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_004,Volumetric + Tailgate / multiple lines,Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.,BLAIR ATHOL,SA,5084,YES,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,396.07,396.08,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_004,Volumetric + Tailgate / multiple lines,Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.,BLAIR ATHOL,SA,5084,YES,3,KTI,KTI,OK,GENERAL,GENERAL,OK,962.07,962.08,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_004,Volumetric + Tailgate / multiple lines,Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.,BLAIR ATHOL,SA,5084,YES,4,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,1085.95,1085.95,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_005,Tailgate comparison / base two SKUs,Validate effect of Tailgate YES against CASE_002 same products/location.,BLAIR ATHOL,SA,5084,YES,1,STEA,STEA,OK,ROAD,ROAD,OK,376.40,376.40,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_005,Tailgate comparison / base two SKUs,Validate effect of Tailgate YES against CASE_002 same products/location.,BLAIR ATHOL,SA,5084,YES,2,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,450.22,450.22,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_005,Tailgate comparison / base two SKUs,Validate effect of Tailgate YES against CASE_002 same products/location.,BLAIR ATHOL,SA,5084,YES,3,COCHRN,COCHRN,OK,ROAD,ROAD,OK,475.29,475.29,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_005,Tailgate comparison / base two SKUs,Validate effect of Tailgate YES against CASE_002 same products/location.,BLAIR ATHOL,SA,5084,YES,4,KTI,KTI,OK,GENERAL,GENERAL,OK,1150.62,1150.63,0.01,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_006,Heavy SKU + Tailgate / SM460,Validate heavy SM460 × 4 with Tailgate YES.,BLAIR ATHOL,SA,5084,YES,1,STEA,STEA,OK,ROAD,ROAD,OK,257.28,257.28,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_006,Heavy SKU + Tailgate / SM460,Validate heavy SM460 × 4 with Tailgate YES.,BLAIR ATHOL,SA,5084,YES,2,COCHRN,COCHRN,OK,ROAD,ROAD,OK,316.86,316.86,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_006,Heavy SKU + Tailgate / SM460,Validate heavy SM460 × 4 with Tailgate YES.,BLAIR ATHOL,SA,5084,YES,3,KTI,KTI,OK,GENERAL,GENERAL,OK,773.52,773.52,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_006,Heavy SKU + Tailgate / SM460,Validate heavy SM460 × 4 with Tailgate YES.,BLAIR ATHOL,SA,5084,YES,4,TEAMEX,TEAMEX,OK,ROAD,ROAD,OK,1006.82,1006.82,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
rank_output,rank_output,CASE_007,Volumetric interstate + Tailgate,Validate VIC volumetric SKU with Tailgate YES against CASE_001.,CAROLINE SPRINGS,VIC,3020,YES,1,KTI,KTI,OK,GENERAL,GENERAL,OK,671.53,671.53,0.00,OK,,,,,,,,,OK,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
