case_id,rank,expected_carrier,expected_service,expected_estimate_ex_gst,validation_status,source,notes
CASE_001,1,KTI,GENERAL,619.36,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_001,2,TEAMEX,ROAD,841.52,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_001,3,TFMX,ROAD,992.41,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_002,1,TEAMEX,ROAD,138.57,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_002,2,STEA,ROAD,190.40,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_002,3,COCHRN,ROAD,329.33,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_002,4,KTI,GENERAL,906.43,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_003,1,STEA,ROAD,133.28,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_003,2,COCHRN,ROAD,219.56,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_003,3,KTI,GENERAL,610.56,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_003,4,TEAMEX,ROAD,812.36,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_004,1,STEA,ROAD,316.84,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_004,2,COCHRN,ROAD,391.95,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_004,3,KTI,GENERAL,943.50,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_004,4,TEAMEX,ROAD,1104.88,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_005,1,STEA,ROAD,376.40,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_005,2,TEAMEX,ROAD,453.57,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_005,3,COCHRN,ROAD,470.33,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_005,4,KTI,GENERAL,1128.43,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_006,1,STEA,ROAD,257.28,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_006,2,COCHRN,ROAD,313.56,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_006,3,KTI,GENERAL,758.56,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_006,4,TEAMEX,ROAD,1022.36,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_007,1,KTI,GENERAL,656.36,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_007,2,TEAMEX,ROAD,946.52,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_007,3,TFMX,ROAD,1052.41,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_008,1,STEA,ROAD,47.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_008,2,COCHRN,ROAD,54.89,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_008,3,TFMX,ROAD,63.97,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_008,4,TEAMEX,ROAD,67.70,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_008,5,KTI,GENERAL,166.77,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_009,1,STEA,ROAD,47.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_009,2,COCHRN,ROAD,54.89,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_009,3,TEAMEX,ROAD,76.42,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_009,4,KTI,GENERAL,166.77,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_010,1,STEA,ROAD,76.16,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_010,2,TEAMEX,ROAD,90.46,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_010,3,COCHRN,ROAD,109.78,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_010,4,KTI,GENERAL,314.70,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_011,1,STEA,ROAD,138.16,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_011,2,COCHRN,ROAD,156.78,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_011,3,TEAMEX,ROAD,195.46,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_011,4,KTI,GENERAL,388.70,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_012,1,STEA,ROAD,47.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_012,2,COCHRN,ROAD,54.89,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_012,3,KTI,GENERAL,166.77,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_012,4,TEAMEX,ROAD,383.32,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_013,1,STEA,ROAD,76.16,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_013,2,COCHRN,ROAD,109.78,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_013,3,KTI,GENERAL,314.70,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_013,4,TEAMEX,ROAD,524.45,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_014,1,STEA,ROAD,133.28,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_014,2,COCHRN,ROAD,219.56,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_014,3,KTI,GENERAL,610.56,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_014,4,TEAMEX,ROAD,812.36,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_015,1,STEA,ROAD,47.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_015,2,COCHRN,ROAD,54.89,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_015,3,KTI,GENERAL,166.77,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_015,4,TEAMEX,ROAD,440.49,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_016,1,STEA,ROAD,76.16,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_016,2,COCHRN,ROAD,109.78,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_016,3,KTI,GENERAL,314.70,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_016,4,TEAMEX,ROAD,440.93,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_017,1,STEA,ROAD,104.72,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_017,2,COCHRN,ROAD,164.67,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_017,3,KTI,GENERAL,462.63,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_017,4,TEAMEX,ROAD,542.77,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_018,1,STEA,ROAD,133.28,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_018,2,COCHRN,ROAD,219.56,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_018,3,KTI,GENERAL,610.56,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_018,4,TEAMEX,ROAD,692.54,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_019,1,KTI,GENERAL,147.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_019,2,TEAMEX,ROAD,193.76,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_019,3,TFMX,ROAD,327.78,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_020,1,KTI,GENERAL,369.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_020,2,TEAMEX,ROAD,508.76,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_020,3,TFMX,ROAD,687.78,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
