sku,source_row_number,reasons,source_name,operational_name,source_description,operational_description,source_length_mm,source_width_mm,source_height_mm,source_outer_l_mm,source_outer_w_mm,source_outer_h_mm,operational_length_m,operational_width_m,operational_height_m,source_weight_kg,operational_weight_kg,source_cubic_m3,operational_cubic_m3,source_pallet,source_derived_cp,operational_cp,possible_unit_scale_warning,draft_name,draft_description,draft_dimensions,draft_weight,draft_cubic,draft_freight_type,previously_resolved_detected,identical_source_detected,bulk_safety_status,bulk_safety_issues,related_draft_memory_payloads_json
20772,6792,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Wheel Sup OffRd 500mm Max875kg,Wheel Sup OffRd 500mm Max875kg,"Wheel Support Device ""Offroad"" (500 mm) 1 Set = 4 Pcs. Capacity Per Item Max. 875 Kg","Wheel Support Device ""Offroad"" (500 mm) 1 Set = 4 Pcs. Capacity Per Item Max. 875 Kg",0.000000,0.000000,0.000000,0.0,0.0,0.0,1.2000,0.8000,0.3500,45.200000,70.0000,0.184000,0.336000,0.000000,C,C,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
20985,6824,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Wheel Sup Std 400mm Max875 Kg,Wheel Sup Std 400mm Max875 Kg,"Wheel Support Device ""Standard"" (400 mm) 1 Set = 4 Pieces, Capacity Per Item Max. 875 Kg","Wheel Support Device ""Standard"" (400 mm) 1 Set = 4 Pieces, Capacity Per Item Max. 875 Kg",0.000000,0.000000,0.000000,0.0,0.0,0.0,1.2000,0.8000,0.6000,40.000000,280.0000,0.152000,0.576000,0.000000,C,C,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
4.3CP-JARVIS-1,9460,,Hoist- Jarvis Trinity Gardens,Hoist- Jarvis Trinity Gardens,Hoist- Jarvis Trinity Gardens,Hoist- Jarvis Trinity Gardens,4960.000000,2120.000000,700.000000,4960.0,2120.0,700.0,4.9600,2.1200,0.7000,2500.000000,2500.0000,7.361000,7.361000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
4.3CP-JARVIS-2,9461,,Pallet -Jarvis Trinity Gardens,Pallet -Jarvis Trinity Gardens,Pallet - Jarvis Trinity Gardens,Pallet - Jarvis Trinity Gardens,700.000000,700.000000,2120.000000,700.0,700.0,2120.0,0.7000,0.7000,2.1200,300.000000,300.0000,1.039000,1.039000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
40UE,9637,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT,BrdbryHst40UE-3ph(Part 1 of 2),BrdbryHst40UE-3ph(Part 1 of 2),Bradbury Hoist 40UE 2PST - 3ph - Include Power Unit,Bradbury Hoist 40UE 2PST - 3ph - Include Power Unit,0.000000,0.000000,0.000000,3750.0,450.0,750.0,3.7500,0.4500,0.7500,703.000000,800.0000,3.701000,3.701000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
75S-Q,15402,,Mobile 75S Q/tine (Barth Bros),Mobile 75S Q/tine (Barth Bros),Mobile 75S Quarantine (Barth Bros) 4 Columns = 1 Set/Item,Mobile 75S Quarantine (Barth Bros) 4 Columns = 1 Set/Item,1170.000000,1170.000000,2580.000000,1170.0,1170.0,2580.0,1.1700,1.1700,2.5800,2164.000000,2164.0000,14.128000,14.128000,4.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
778413,15559,,Recess Kit for Magix 30,Recess Kit for Magix 30,Recess Kit for Magix 30,Recess Kit for Magix 30,2170.000000,790.000000,350.000000,2170.0,790.0,350.0,2.1700,0.7900,0.3500,77.000000,77.0000,0.600000,0.600000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
778483,15562,,Imbedding Frame MagiX 35 DS II,Imbedding Frame MagiX 35 DS II,"Imbedding Frame MagiX 35 DS II, Galvanised for recessed install","Imbedding Frame MagiX 35 DS II, Galvanised for recessed install",2340.000000,900.000000,370.000000,2340.0,900.0,370.0,2.3400,0.9000,0.3700,90.000000,90.0000,0.779000,0.779000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
794037,15636,CUBIC_DIFFERENT,Traverse Kit,Traverse Kit,Traverse Kit,Traverse Kit,1500.000000,290.000000,320.000000,1500.0,290.0,320.0,1.5000,0.2900,0.3200,55.000000,55.0000,0.139000,0.139200,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
835318,15796,,Set of Platform Extensions,Set of Platform Extensions,Set of Platform Extensions,Set of Platform Extensions,910.000000,620.000000,490.000000,910.0,620.0,490.0,0.9100,0.6200,0.4900,113.000000,113.0000,0.276000,0.276000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
BFRAME,18275,,BASE FRAME,BASE FRAME,Base Frame - SKID,Base Frame - SKID,1600.000000,150.000000,150.000000,1600.0,150.0,150.0,1.6000,0.1500,0.1500,48.000000,48.0000,0.036000,0.036000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
BIGLIFT-2.55,18364,,Biglift 2.55 In-Ground Hoist,Biglift 2.55 In-Ground Hoist,Biglift 2.55 In-Ground Hoist,Biglift 2.55 In-Ground Hoist,2600.000000,1100.000000,800.000000,2600.0,1100.0,800.0,2.6000,1.1000,0.8000,770.000000,770.0000,2.288000,2.288000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
BRH4443,19546,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Bradbury Hoist H4443 - 3 Parts,Bradbury Hoist H4443 - 3 Parts,Bradbury Hoist H4443 - 3 Parts,Bradbury Hoist H4443 - 3 Parts,0.000000,0.000000,0.000000,4700.0,750.0,1050.0,4.7000,0.7500,1.0500,1750.000000,1750.0000,3.701000,3.701000,3.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
BRH4543,19547,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Bradbury Hoist H4543 - 3 Parts,Bradbury Hoist H4543 - 3 Parts,Bradbury Hoist H4543 - 3 Parts,Bradbury Hoist H4543 - 3 Parts,0.000000,0.000000,0.000000,5850.0,910.0,420.0,5.8500,0.9100,0.4200,2242.000000,2242.0000,4.851000,4.851000,3.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
BRH4543+4,19548,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Major 5230 Bradbury  - 4 Parts,Major 5230 Bradbury  - 4 Parts,Major 5230 Bradbury Wheel Free - 4 Parts,Major 5230 Bradbury Wheel Free - 4 Parts,0.000000,0.000000,0.000000,5850.0,910.0,420.0,5.8500,0.9100,0.4200,2256.000000,2256.0000,5.069000,5.069000,4.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CASSETTE,21641,,12276 - Cassette 2300mm,12276 - Cassette 2300mm,12276 - Cassette 2300mm,12276 - Cassette 2300mm,2560.000000,520.000000,2450.000000,2560.0,520.0,2450.0,2.5600,0.5200,2.4500,580.000000,580.0000,3.261000,3.261000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CASSETTE-SKODA,21642,,Cassette for Inground Hoist,Cassette for Inground Hoist,Cassette for Inground Hoist,Cassette for Inground Hoist,2570.000000,1560.000000,2580.000000,2570.0,1560.0,2580.0,2.5700,1.5600,2.5800,1760.000000,1760.0000,10.344000,10.344000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CASSETTE12103,21643,,12103 - Cassette 2300mm,12103 - Cassette 2300mm,12103- Cassette 2300mm,12103- Cassette 2300mm,2560.000000,520.000000,2450.000000,2560.0,520.0,2450.0,2.5600,0.5200,2.4500,580.000000,580.0000,3.261000,3.261000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CM245-A,22535,,Electro-Hydraulic Two Post Hst,Electro-Hydraulic Two Post Hst,Electro-Hydraulic Two Post Hoist,Electro-Hydraulic Two Post Hoist,4000.000000,930.000000,520.000000,4000.0,930.0,520.0,4.0000,0.9300,0.5200,947.000000,947.0000,1.934000,1.934000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CM245-A-1PH,22536,,Electro-Hydr Two Post Hst 1PH,Electro-Hydr Two Post Hst 1PH,Electro-Hydraulic Two Post Hoist Single Phase (1PH),Electro-Hydraulic Two Post Hoist Single Phase (1PH),4000.000000,930.000000,520.000000,4000.0,930.0,520.0,4.0000,0.9300,0.5200,947.000000,947.0000,1.934000,1.934000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CM245-A-Q,22538,,Elec-Hyd TwoPost - Quarantine,Elec-Hyd TwoPost - Quarantine,Electro-Hydraulic Two Post Hoist - Missing Parts,Electro-Hydraulic Two Post Hoist - Missing Parts,4000.000000,930.000000,520.000000,4000.0,930.0,520.0,4.0000,0.9300,0.5200,947.000000,947.0000,1.934000,1.934000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CM245-AS,22540,,Electro-Hydraulic 2 Post Hoist,Electro-Hydraulic 2 Post Hoist,Electro-Hydraulic Two Post Hoist,Electro-Hydraulic Two Post Hoist,2930.000000,1120.000000,500.000000,2930.0,1120.0,500.0,2.9300,1.1200,0.5000,825.000000,825.0000,1.641000,1.641000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CM245-AS-1PH,22542,,Electro-Hydraulic 2 Post Hoist,Electro-Hydraulic 2 Post Hoist,Electro-Hydraulic Two Post Hoist (Single Phase),Electro-Hydraulic Two Post Hoist (Single Phase),2930.000000,1120.000000,500.000000,2930.0,1120.0,500.0,2.9300,1.1200,0.5000,825.000000,825.0000,1.641000,1.641000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CM245-AS-SPKIT,22550,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,CM245-AS Spacer Kit,CM245-AS Spacer Kit,CM245-AS Spacer Kit,CM245-AS Spacer Kit,0.000000,0.000000,0.000000,180.0,160.0,90.0,0.1800,0.1600,0.0900,1.000000,210.0000,0.002600,0.545000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
CM255-A,22552,CUBIC_DIFFERENT,2 Post 5.5T Hoist - RAL2002,2 Post 5.5T Hoist - RAL2002,2 Post 5.5T Hoist -  MASCOT (RAL2002),2 Post 5.5T Hoist -  MASCOT (RAL2002),4000.000000,1010.000000,690.000000,4000.0,1010.0,690.0,4.0000,1.0100,0.6900,1058.000000,1058.0000,3.074000,2.788000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
