case_id,suburb_written,state_written,postcode_written,tailgate_written,preselect_written,suburb_readback,state_readback,postcode_readback,tailgate_readback,preselect_readback,formula_len_1,formula_width_1,formula_height_1,formula_weight_1,formula_cubic_1,total_weight_readback,total_cubic_readback,expected_sku_1,expected_sku_type_1,expected_qty_1,actual_sku_1,actual_qty_1,expected_sku_2,expected_sku_type_2,expected_qty_2,actual_sku_2,actual_qty_2,expected_sku_3,expected_sku_type_3,expected_qty_3,actual_sku_3,actual_qty_3,expected_sku_4,expected_sku_type_4,expected_qty_4,actual_sku_4,actual_qty_4,expected_sku_5,expected_sku_type_5,expected_qty_5,actual_sku_5,actual_qty_5,expected_sku_6,expected_sku_type_6,expected_qty_6,actual_sku_6,actual_qty_6,expected_sku_7,expected_sku_type_7,expected_qty_7,actual_sku_7,actual_qty_7,expected_sku_8,expected_sku_type_8,expected_qty_8,actual_sku_8,actual_qty_8,calclines_l3_status,calclines_o29_weight,calclines_p29_cubic,generated_output_count,rank1_carrier_readback,rank1_service_readback,rank1_estimate_readback
CASE_001,CAROLINE SPRINGS,VIC,3023,NO,YES,CAROLINE SPRINGS,VIC,3023,NO,YES,1.15,1.23,2.55,2164,14.43,2196.5,14.43,SMC30CABLED,text,1,SMC30CABLED,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,2196.5,14.45,3,KTI,GENERAL,634.53
CASE_002,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,1.2,0.8,0.35,70,0.336,1035,0.9119999999999999,20772,numeric,4,20772,4,20985,numeric,2,20985,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,1035,1.032,4,TEAMEX,ROAD,135.22
CASE_003,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,5.6,0.74,1.05,2200,4.351,8930,4.351,SM460-A,text,4,SM460-A,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,8930,4.431,4,STEA,ROAD,133.28
CASE_004,BLAIR ATHOL,SA,5084,YES,YES,BLAIR ATHOL,SA,5084,YES,YES,1.15,1.23,2.55,2164,14.43,10982.5,28.86,SMC30CABLED,text,1,SMC30CABLED,1,SMC30CABLED,text,4,SMC30CABLED,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,10982.5,28.96,4,STEA,ROAD,316.84
CASE_005,BLAIR ATHOL,SA,5084,YES,YES,BLAIR ATHOL,SA,5084,YES,YES,1.2,0.8,0.35,70,0.336,1035,0.9119999999999999,20772,numeric,4,20772,4,20985,numeric,2,20985,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,1035,1.032,4,STEA,ROAD,376.40
CASE_006,BLAIR ATHOL,SA,5084,YES,YES,BLAIR ATHOL,SA,5084,YES,YES,5.6,0.7,1.22,2200,4.782,8930,4.782,SM460,text,4,SM460,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,8930,4.862,4,STEA,ROAD,257.28
CASE_007,CAROLINE SPRINGS,VIC,3020,YES,YES,CAROLINE SPRINGS,VIC,3020,YES,YES,1.15,1.23,2.55,2164,14.43,2196.5,14.43,SMC30CABLED,text,1,SMC30CABLED,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,2196.5,14.45,3,KTI,GENERAL,671.53
CASE_008,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,1.2,0.8,0.35,70,0.336,102.5,0.336,20772,numeric,1,20772,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,102.5,0.35600000000000004,5,STEA,ROAD,47.60
CASE_009,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,1.2,0.8,0.6,280,0.576,312.5,0.576,20985,numeric,1,20985,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,312.5,0.596,4,STEA,ROAD,47.60
CASE_010,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,1.2,0.8,0.35,70,0.336,415,0.9119999999999999,20772,numeric,1,20772,1,20985,numeric,1,20985,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,415,0.952,4,STEA,ROAD,76.16
CASE_011,BLAIR ATHOL,SA,5084,YES,YES,BLAIR ATHOL,SA,5084,YES,YES,1.2,0.8,0.35,70,0.336,415,0.9119999999999999,20772,numeric,1,20772,1,20985,numeric,1,20985,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,415,0.952,4,STEA,ROAD,138.16
CASE_012,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,5.6,0.7,1.22,2200,4.782,2232.5,4.782,SM460,text,1,SM460,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,2232.5,4.802,4,STEA,ROAD,47.60
CASE_013,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,5.6,0.7,1.22,2200,4.782,4465,4.782,SM460,text,2,SM460,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,4465,4.822,4,STEA,ROAD,76.16
CASE_014,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,5.6,0.7,1.22,2200,4.782,8930,4.782,SM460,text,4,SM460,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,8930,4.862,4,STEA,ROAD,133.28
CASE_015,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,1.15,1.23,2.55,2164,14.43,2196.5,14.43,SMC30CABLED,text,1,SMC30CABLED,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,2196.5,14.45,4,STEA,ROAD,47.60
CASE_016,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,1.15,1.23,2.55,2164,14.43,4393,14.43,SMC30CABLED,text,2,SMC30CABLED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,4393,14.469999999999999,4,STEA,ROAD,76.16
CASE_017,BLAIR ATHOL,SA,5084,NO,YES,BLAIR ATHOL,SA,5084,NO,YES,1.15,1.23,2.55,2164,14.43,6589.5,14.43,SMC30CABLED,text,3,SMC30CABLED,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD,6589.5,14.49,4,STEA,ROAD,104.72
