sku,source_row_number,row_status,group_key,row_action,decision_status,draft_name,draft_description,draft_dimensions,draft_weight,draft_cubic,draft_freight_type,field_decisions_json,custom_values_json,notes,reviewed_by_id,reviewed_at,applied_by_id,applied_at,apply_batch_id,source_name,operational_name,source_description,operational_description,source_length_mm,source_width_mm,source_height_mm,source_outer_l_mm,source_outer_w_mm,source_outer_h_mm,operational_length_m,operational_width_m,operational_height_m,source_weight_kg,operational_weight_kg,source_cubic_m3,operational_cubic_m3,source_pallet,source_derived_cp,operational_cp,primary_dimensions_different,weight_different,cubic_different,cp_different,possible_unit_scale_warning,active_rule_count,active_rule_names,active_rule_decisions_json,active_memory_exists,memory_workflow_key,memory_source_fingerprint,memory_proposal_fingerprint,memory_approved_data_json,memory_approval_note,memory_approved_at,memory_last_used_at,memory_use_count,bulk_safety_status,bulk_safety_issues
20772,6792,DIFFERENT,SOURCE_DIMENSIONS_ZERO,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.794077+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,Wheel Sup OffRd 500mm Max875kg,Wheel Sup OffRd 500mm Max875kg,"Wheel Support Device ""Offroad"" (500 mm) 1 Set = 4 Pcs. Capacity Per Item Max. 875 Kg","Wheel Support Device ""Offroad"" (500 mm) 1 Set = 4 Pcs. Capacity Per Item Max. 875 Kg",0.000000,0.000000,0.000000,0.0,0.0,0.0,1.2000,0.8000,0.3500,45.200000,70.0000,0.184000,0.336000,0.000000,C,C,True,True,True,False,,0,,[],True,PRODUCT_RECONCILIATION,5a7e92ea98244c88e73290c0c378aadcef087b0e54ec150ae554b57c2f00f6e7,677f682157ec762515cf2065fb8a123fe551a2e1a0fc7205b36fa2287727d0f7,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""Wheel Sup OffRd 500mm Max875kg"", ""width_m"": ""0.8000"", ""cubic_m3"": ""0.336000"", ""height_m"": ""0.3500"", ""length_m"": ""1.2000"", ""weight_kg"": ""70.0000"", ""description"": ""Wheel Support Device \""Offroad\"" (500 mm) 1 Set = 4 Pcs. Capacity Per Item Max. 875 Kg"", ""freight_type"": ""C""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #1. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.243629+00:00,2026-09-22 22:35:55.242517+00:00,1,SAFE_CANDIDATE,
20985,6824,DIFFERENT,SOURCE_DIMENSIONS_ZERO,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.798704+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,Wheel Sup Std 400mm Max875 Kg,Wheel Sup Std 400mm Max875 Kg,"Wheel Support Device ""Standard"" (400 mm) 1 Set = 4 Pieces, Capacity Per Item Max. 875 Kg","Wheel Support Device ""Standard"" (400 mm) 1 Set = 4 Pieces, Capacity Per Item Max. 875 Kg",0.000000,0.000000,0.000000,0.0,0.0,0.0,1.2000,0.8000,0.6000,40.000000,280.0000,0.152000,0.576000,0.000000,C,C,True,True,True,False,,0,,[],True,PRODUCT_RECONCILIATION,a2e6c77df781a302fb26e28460828b08c3d577dc49803795a36aa236c491fc0a,ff73fdcec580eda1f0dbc911f14eb1ea6c3210326ecdf69a34af8c66a1343f89,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""Wheel Sup Std 400mm Max875 Kg"", ""width_m"": ""0.8000"", ""cubic_m3"": ""0.576000"", ""height_m"": ""0.6000"", ""length_m"": ""1.2000"", ""weight_kg"": ""280.0000"", ""description"": ""Wheel Support Device \""Standard\"" (400 mm) 1 Set = 4 Pieces, Capacity Per Item Max. 875 Kg"", ""freight_type"": ""C""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #2. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.250798+00:00,2026-09-22 22:35:55.249803+00:00,1,SAFE_CANDIDATE,
4.3CP-JARVIS-1,9460,DIFFERENT,TEXT_ONLY,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.800238+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,Hoist- Jarvis Trinity Gardens,Hoist- Jarvis Trinity Gardens,Hoist- Jarvis Trinity Gardens,Hoist- Jarvis Trinity Gardens,4960.000000,2120.000000,700.000000,4960.0,2120.0,700.0,4.9600,2.1200,0.7000,2500.000000,2500.0000,7.361000,7.361000,1.000000,P,P,False,False,False,False,,0,,[],True,PRODUCT_RECONCILIATION,1c645f6613b499233c73a1acf0d02c337109c8d3b833b5522a8cfde7d7077e58,ba9f227352fc1fe4791305b22fbf9419936d3477ead2975fe300d0f81ee7bff5,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""Hoist- Jarvis Trinity Gardens"", ""width_m"": ""2.1200"", ""cubic_m3"": ""7.361000"", ""height_m"": ""0.7000"", ""length_m"": ""4.9600"", ""weight_kg"": ""2500.0000"", ""description"": ""Hoist- Jarvis Trinity Gardens"", ""freight_type"": ""P""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #3. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.257082+00:00,2026-09-22 22:35:55.256229+00:00,1,SAFE_CANDIDATE,
4.3CP-JARVIS-2,9461,DIFFERENT,TEXT_ONLY,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.801683+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,Pallet -Jarvis Trinity Gardens,Pallet -Jarvis Trinity Gardens,Pallet - Jarvis Trinity Gardens,Pallet - Jarvis Trinity Gardens,700.000000,700.000000,2120.000000,700.0,700.0,2120.0,0.7000,0.7000,2.1200,300.000000,300.0000,1.039000,1.039000,1.000000,P,P,False,False,False,False,,0,,[],True,PRODUCT_RECONCILIATION,62f1fc22a6bfe03c6d0d340d9d3957c2beea92d332f46644f7cfb85682f9036a,a1e123bbddafe0ff6972fccebb797374b85f64743e38908478244ef791e1b76a,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""Pallet -Jarvis Trinity Gardens"", ""width_m"": ""0.7000"", ""cubic_m3"": ""1.039000"", ""height_m"": ""2.1200"", ""length_m"": ""0.7000"", ""weight_kg"": ""300.0000"", ""description"": ""Pallet - Jarvis Trinity Gardens"", ""freight_type"": ""P""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #4. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.259700+00:00,2026-09-22 22:35:55.258902+00:00,1,SAFE_CANDIDATE,
40UE,9637,DIFFERENT,SOURCE_DIMENSIONS_ZERO,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.803061+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,BrdbryHst40UE-3ph(Part 1 of 2),BrdbryHst40UE-3ph(Part 1 of 2),Bradbury Hoist 40UE 2PST - 3ph - Include Power Unit,Bradbury Hoist 40UE 2PST - 3ph - Include Power Unit,0.000000,0.000000,0.000000,3750.0,450.0,750.0,3.7500,0.4500,0.7500,703.000000,800.0000,3.701000,3.701000,1.000000,P,P,True,True,False,False,,0,,[],True,PRODUCT_RECONCILIATION,e0bba07e62a6f69706d094d7f7d1effb1faac198bdfae964875d26779449469a,92d8555b96c05e2695c1433e319bd60826d5484982965cd74707be3fdf0ce4ca,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""BrdbryHst40UE-3ph(Part 1 of 2)"", ""width_m"": ""0.4500"", ""cubic_m3"": ""3.701000"", ""height_m"": ""0.7500"", ""length_m"": ""3.7500"", ""weight_kg"": ""800.0000"", ""description"": ""Bradbury Hoist 40UE 2PST - 3ph - Include Power Unit"", ""freight_type"": ""P""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #5. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.254088+00:00,2026-09-22 22:35:55.253217+00:00,1,SAFE_CANDIDATE,
75S-Q,15402,DIFFERENT,TEXT_ONLY,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.804524+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,Mobile 75S Q/tine (Barth Bros),Mobile 75S Q/tine (Barth Bros),Mobile 75S Quarantine (Barth Bros) 4 Columns = 1 Set/Item,Mobile 75S Quarantine (Barth Bros) 4 Columns = 1 Set/Item,1170.000000,1170.000000,2580.000000,1170.0,1170.0,2580.0,1.1700,1.1700,2.5800,2164.000000,2164.0000,14.128000,14.128000,4.000000,P,P,False,False,False,False,,0,,[],True,PRODUCT_RECONCILIATION,21a84d9588d6c5bcb8988d0f6b94d377c07c6a15585c781793c9caacfd92b6a1,03e491e796a3126faaccfeaf98d57c625f9d23d66e6d4452f1142a562b559c7b,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""Mobile 75S Q/tine (Barth Bros)"", ""width_m"": ""1.1700"", ""cubic_m3"": ""14.128000"", ""height_m"": ""2.5800"", ""length_m"": ""1.1700"", ""weight_kg"": ""2164.0000"", ""description"": ""Mobile 75S Quarantine (Barth Bros) 4 Columns = 1 Set/Item"", ""freight_type"": ""P""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #6. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.262767+00:00,2026-09-22 22:35:55.261903+00:00,1,SAFE_CANDIDATE,
778413,15559,DIFFERENT,TEXT_ONLY,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.806042+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,Recess Kit for Magix 30,Recess Kit for Magix 30,Recess Kit for Magix 30,Recess Kit for Magix 30,2170.000000,790.000000,350.000000,2170.0,790.0,350.0,2.1700,0.7900,0.3500,77.000000,77.0000,0.600000,0.600000,1.000000,P,P,False,False,False,False,,0,,[],True,PRODUCT_RECONCILIATION,677f1db93c43a41944345bee106fc3107ad940de3be64573365d1207df41d300,6ef48ba7be56205359f4ec596866b419af2613b765d2e6def1b531cd8c600def,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""Recess Kit for Magix 30"", ""width_m"": ""0.7900"", ""cubic_m3"": ""0.600000"", ""height_m"": ""0.3500"", ""length_m"": ""2.1700"", ""weight_kg"": ""77.0000"", ""description"": ""Recess Kit for Magix 30"", ""freight_type"": ""P""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #7. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.265532+00:00,2026-09-22 22:35:55.264772+00:00,1,SAFE_CANDIDATE,
778483,15562,DIFFERENT,TEXT_ONLY,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.808927+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,Imbedding Frame MagiX 35 DS II,Imbedding Frame MagiX 35 DS II,"Imbedding Frame MagiX 35 DS II, Galvanised for recessed install","Imbedding Frame MagiX 35 DS II, Galvanised for recessed install",2340.000000,900.000000,370.000000,2340.0,900.0,370.0,2.3400,0.9000,0.3700,90.000000,90.0000,0.779000,0.779000,1.000000,P,P,False,False,False,False,,0,,[],True,PRODUCT_RECONCILIATION,1629438e88578c1b3313db19d59c4ac1d0be8c941039c47d73b9c0bc69d0a110,ea456d4db4d077a4c365ec2a5da6ec14c6db398b2c697a0164621f2856a8cded,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""Imbedding Frame MagiX 35 DS II"", ""width_m"": ""0.9000"", ""cubic_m3"": ""0.779000"", ""height_m"": ""0.3700"", ""length_m"": ""2.3400"", ""weight_kg"": ""90.0000"", ""description"": ""Imbedding Frame MagiX 35 DS II, Galvanised for recessed install"", ""freight_type"": ""P""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #8. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.268197+00:00,2026-09-22 22:35:55.267389+00:00,1,SAFE_CANDIDATE,
794037,15636,DIFFERENT,PHYSICAL_DIFFERENCES,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.810683+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,Traverse Kit,Traverse Kit,Traverse Kit,Traverse Kit,1500.000000,290.000000,320.000000,1500.0,290.0,320.0,1.5000,0.2900,0.3200,55.000000,55.0000,0.139000,0.139200,1.000000,P,P,False,False,True,False,,0,,[],True,PRODUCT_RECONCILIATION,19e59e736faeb052696f6578073fd7cbd7364566c7060f87a95bccf68e68609e,47117df78ae68111d95c766f6709da0d0e43b7af3bc83ec04a10566a7b842c5a,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""Traverse Kit"", ""width_m"": ""0.2900"", ""cubic_m3"": ""0.139200"", ""height_m"": ""0.3200"", ""length_m"": ""1.5000"", ""weight_kg"": ""55.0000"", ""description"": ""Traverse Kit"", ""freight_type"": ""P""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #9. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.271019+00:00,2026-09-22 22:35:55.270178+00:00,1,SAFE_CANDIDATE,
835318,15796,DIFFERENT,TEXT_ONLY,UPDATE,APPLIED,SOURCE,SOURCE,OPERATIONAL,OPERATIONAL,OPERATIONAL,SOURCE,"{""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}",{},Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,6,2026-09-21 22:19:44.812164+00:00,6,2026-09-21 22:33:56.705354+00:00,a14e383569824ca6bce9a4299ffe9a54,Set of Platform Extensions,Set of Platform Extensions,Set of Platform Extensions,Set of Platform Extensions,910.000000,620.000000,490.000000,910.0,620.0,490.0,0.9100,0.6200,0.4900,113.000000,113.0000,0.276000,0.276000,1.000000,P,P,False,False,False,False,,0,,[],True,PRODUCT_RECONCILIATION,826a7043de820b87c0c84c5db3eed902bfc471684ebf5dd5f531ea0b3b5bd546,e2fd22a51e4b408df46595a26205d97279fdd88702464a39735b539cae0b384a,"{""schema"": 1, ""row_action"": ""UPDATE"", ""apply_batch_id"": ""a14e383569824ca6bce9a4299ffe9a54"", ""approved_values"": {""name"": ""Set of Platform Extensions"", ""width_m"": ""0.6200"", ""cubic_m3"": ""0.276000"", ""height_m"": ""0.4900"", ""length_m"": ""0.9100"", ""weight_kg"": ""113.0000"", ""description"": ""Set of Platform Extensions"", ""freight_type"": ""P""}, ""field_decisions"": {""name"": ""SOURCE"", ""cubic"": ""OPERATIONAL"", ""weight"": ""OPERATIONAL"", ""dimensions"": ""OPERATIONAL"", ""description"": ""SOURCE"", ""freight_type"": ""SOURCE""}, ""adopted_operational_state"": false, ""backfilled_from_applied_decision"": true}",Adopted from previously applied decision #10. Recommended initial correction: Source name/description and pallet C/P rule; retain Calculator physical values pending separate review.,2026-09-22 22:35:55.274178+00:00,2026-09-22 22:35:55.273351+00:00,1,SAFE_CANDIDATE,
