"row_type","case_id","test_type","purpose","suburb","state","postcode","tailgate","rank","expected_carrier","actual_carrier","carrier_status","expected_service","actual_service","service_status","expected_estimate_ex_gst","actual_estimate_ex_gst","difference","estimate_status","expected_total_weight_kg","actual_total_weight_kg","weight_status","expected_total_cubic_m3","actual_total_cubic_m3","cubic_status","overall_status","validation_status","source_page","notes"
"rank_output","CASE_001","Volumetric interstate / zone-rate lookup","Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.","CAROLINE SPRINGS","VIC","3020","NO","1","KTI","KTI","OK","GENERAL","GENERAL","OK","657.28","647.43","-9.85","FAIL","","","","","","","FAIL","validated_from_excel_screenshot","PDF p.1 top",""
"rank_output","CASE_001","Volumetric interstate / zone-rate lookup","Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.","CAROLINE SPRINGS","VIC","3020","NO","2","TEAMEX","TEAMEX","OK","ROAD","ROAD","OK","879.34","854.13","-25.21","FAIL","","","","","","","FAIL","validated_from_excel_screenshot","PDF p.1 top",""
"rank_output","CASE_002","Base consolidation / SA ranking","Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.","BLAIR ATHOL","SA","5084","NO","1","TEAMEX","TEAMEX","OK","ROAD","ROAD","OK","145.28","140.81","-4.47","FAIL","","","","","","","FAIL","validated_from_excel_screenshot","PDF p.1 bottom / p.2",""
"rank_output","CASE_002","Base consolidation / SA ranking","Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.","BLAIR ATHOL","SA","5084","NO","4","KTI","KTI","OK","GENERAL","GENERAL","OK","961.92","947.13","-14.79","FAIL","","","","","","","FAIL","validated_from_excel_screenshot","PDF p.1 bottom / p.2",""
"rank_output","CASE_007","Volumetric interstate + Tailgate","Validate VIC volumetric SKU with Tailgate YES against CASE_001.","CAROLINE SPRINGS","VIC","3020","YES","1","KTI","KTI","OK","GENERAL","GENERAL","OK","684.17","684.43","0.26","FAIL","","","","","","","FAIL","validated_from_excel_screenshot","PDF p.7",""
"rank_output","CASE_019","Interstate base two SKUs","Validate same base products as CASE_002 but VIC destination, Tailgate NO.","CAROLINE SPRINGS","VIC","3020","NO","1","KTI","KTI","OK","GENERAL","GENERAL","OK","154.23","154.28","0.05","FAIL","","","","","","","FAIL","validated_from_excel_screenshot","PDF p.19",""
"rank_output","CASE_020","Interstate base two SKUs + Tailgate","Validate CASE_019 with Tailgate YES.","CAROLINE SPRINGS","VIC","3020","YES","1","KTI","KTI","OK","GENERAL","GENERAL","OK","376.23","376.28","0.05","FAIL","","","","","","","FAIL","validated_from_excel_screenshot","PDF p.20",""
"component_totals","CASE_001","Volumetric interstate / zone-rate lookup","Validate VIC destination, volumetric SKU, interstate carrier ranking, Tailgate NO.","CAROLINE SPRINGS","VIC","3020","NO","","KTI","KTI","","GENERAL","GENERAL","","657.28","647.43","","","2196.5","2196.5000","OK","14.43","14.450000","FAIL","FAIL","validated_from_excel_screenshot","PDF p.1 top","Only 3 ranking rows visible in screenshot."
"component_totals","CASE_002","Base consolidation / SA ranking","Validate base two-SKU consolidation, SA destination, total weight/cubic, ranking without tailgate.","BLAIR ATHOL","SA","5084","NO","","TEAMEX","TEAMEX","","ROAD","ROAD","","145.28","140.81","","","1035.0","1035.0000","OK","0.912","1.032000","FAIL","FAIL","validated_from_excel_screenshot","PDF p.1 bottom / p.2","Duplicate screenshot on p.2 confirms same result."
"component_totals","CASE_003","Heavy SKU accepted / SM460-A","Validate heavy SKU accepted by carriers and ranking for SM460-A ? 4, Tailgate NO.","BLAIR ATHOL","SA","5084","NO","","STEA","STEA","","ROAD","ROAD","","133.28","133.28","","","8930.0","8930.0000","OK","4.351","4.431000","FAIL","FAIL","validated_from_excel_screenshot","PDF p.3","This is SM460-A; do not merge with SM460 cases."
"component_totals","CASE_004","Volumetric + Tailgate / multiple lines","Validate high cubic shipment with Tailgate YES and multiple lines of same SKU.","BLAIR ATHOL","SA","5084","YES","","STEA","STEA","","ROAD","ROAD","","316.84","316.84","","","10982.5","10982.5000","OK","28.86","28.960000","FAIL","FAIL","validated_from_excel_screenshot","PDF p.4","Two lines: qty 1 and qty 4."
"component_totals","CASE_005","Tailgate comparison / base two SKUs","Validate effect of Tailgate YES against CASE_002 same products/location.","BLAIR ATHOL","SA","5084","YES","","STEA","STEA","","ROAD","ROAD","","376.4","376.40","","","1035.0","1035.0000","OK","0.912","1.032000","FAIL","FAIL","validated_from_excel_screenshot","PDF p.5","Same input as CASE_002 but Tailgate YES and newer fuel date."
"component_totals","CASE_006","Heavy SKU + Tailgate / SM460","Validate heavy SM460 ? 4 with Tailgate YES.","BLAIR ATHOL","SA","5084","YES","","STEA","STEA","","ROAD","ROAD","","257.28","257.28","","","8930.0","8930.0000","OK","4.782","4.862000","FAIL","FAIL","validated_from_excel_screenshot","PDF p.6","Observed SKU is SM460, not SM460-A."
"component_totals","CASE_007","Volumetric interstate + Tailgate","Validate VIC volumetric SKU with Tailgate YES against CASE_001.","CAROLINE SPRINGS","VIC","3020","YES","","KTI","KTI","","GENERAL","GENERAL","","684.17","684.43","","","2196.5","2196.5000","OK","14.43","14.450000","FAIL","FAIL","validated_from_excel_screenshot","PDF p.7","Only 3 ranking rows visible."
